ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,LATITUDE,LONGITUDE,LOCATION,COUNT,geometry
551325.0,Allard,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,6.0,70.0,2017-06-01,Parks,53.4017731563087,-113.518299295692,"(53.4017731563087, -113.518299295692)",1.0,POINT (-113.518299295692 53.4017731563087)
551326.0,Allard,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,6.0,70.0,2017-06-01,Parks,53.4018468245837,-113.518170506693,"(53.4018468245837, -113.518170506693)",1.0,POINT (-113.518170506693 53.4018468245837)
141369.0,North Glenora,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,18.0,70.0,1990-01-01,Parks,53.55561945039349,-113.557448281725,"(53.5556194503935, -113.557448281725)",1.0,POINT (-113.557448281725 53.55561945039349)
261602.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,9.0,70.0,1990-01-01,Parks,53.5379584478788,-113.56761890392,"(53.5379584478788, -113.56761890392)",1.0,POINT (-113.56761890392 53.5379584478788)
266233.0,Belle Rive,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,2007-06-01,Parks,53.6279514617436,-113.47009377912599,"(53.6279514617436, -113.470093779126)",1.0,POINT (-113.470093779126 53.6279514617436)
261770.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,9.0,70.0,1990-01-01,Parks,53.537959321064704,-113.56766158456499,"(53.5379593210647, -113.567661584565)",1.0,POINT (-113.567661584565 53.5379593210647)
388439.0,Oleskiw,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,6.0,70.0,1990-01-01,Parks,53.49404284351171,-113.597515804904,"(53.4940428435117, -113.597515804904)",1.0,POINT (-113.597515804904 53.49404284351171)
261767.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.5380465631114,-113.567658282232,"(53.5380465631114, -113.567658282232)",1.0,POINT (-113.567658282232 53.5380465631114)
266234.0,Belle Rive,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,2007-06-01,Parks,53.627951871366996,-113.470186320754,"(53.627951871367, -113.470186320754)",1.0,POINT (-113.470186320754 53.627951871367)
477008.0,Lorelei,School,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,1990-01-01,Parks,53.621796302254296,-113.509028675638,"(53.6217963022543, -113.509028675638)",1.0,POINT (-113.509028675638 53.6217963022543)
429584.0,Silver Berry,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,6.0,70.0,1990-01-01,Parks,53.461056920678104,-113.391921531995,"(53.4610569206781, -113.391921531995)",1.0,POINT (-113.391921531995 53.4610569206781)
261603.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,9.0,70.0,1990-01-01,Parks,53.537978901081495,-113.567658971548,"(53.5379789010815, -113.567658971548)",1.0,POINT (-113.567658971548 53.53797890108149)
327903.0,Mill Woods Golf Course,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,1990-01-01,Parks,53.4847123669658,-113.42355879546999,"(53.4847123669658, -113.42355879547)",1.0,POINT (-113.42355879547 53.4847123669658)
261739.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.538027137958295,-113.56770373413099,"(53.5380271379583, -113.567703734131)",1.0,POINT (-113.567703734131 53.5380271379583)
444467.0,Mill Woods Golf Course,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,12.0,70.0,1990-01-01,Parks,53.48468805351211,-113.423549443877,"(53.4846880535121, -113.423549443877)",1.0,POINT (-113.423549443877 53.48468805351211)
261604.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,9.0,70.0,1990-01-01,Parks,53.5379751655719,-113.567619940363,"(53.5379751655719, -113.567619940363)",1.0,POINT (-113.567619940363 53.5379751655719)
442872.0,Pleasantview,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,5.0,70.0,2009-06-01,Parks,53.494011870379,-113.511081361059,"(53.494011870379, -113.511081361059)",1.0,POINT (-113.511081361059 53.494011870379)
282235.0,River Valley Victoria,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,8.0,70.0,1990-01-01,Parks,53.538709724913204,-113.528292677425,"(53.5387097249132, -113.528292677425)",1.0,POINT (-113.528292677425 53.5387097249132)
327905.0,Mill Woods Golf Course,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,1990-01-01,Parks,53.4846964945946,-113.423569556394,"(53.4846964945946, -113.423569556394)",1.0,POINT (-113.423569556394 53.4846964945946)
477009.0,Lorelei,School,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,15.0,70.0,1990-01-01,Parks,53.6217084436558,-113.50888616006701,"(53.6217084436558, -113.508886160067)",1.0,POINT (-113.508886160067 53.6217084436558)
327904.0,Mill Woods Golf Course,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,1990-01-01,Parks,53.4847297537582,-113.423531861651,"(53.4847297537582, -113.423531861651)",1.0,POINT (-113.423531861651 53.4847297537582)
261740.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.5380060123845,-113.56770138493602,"(53.5380060123845, -113.567701384936)",1.0,POINT (-113.567701384936 53.5380060123845)
261741.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.538071278042494,-113.567659237219,"(53.5380712780425, -113.567659237219)",1.0,POINT (-113.567659237219 53.53807127804249)
444674.0,Mill Woods Golf Course,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,12.0,70.0,1990-01-01,Parks,53.48471374756121,-113.423529509942,"(53.4847137475612, -113.423529509942)",1.0,POINT (-113.423529509942 53.48471374756121)
427118.0,Belle Rive,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,7.0,70.0,2007-06-01,Parks,53.627922838942006,-113.470055842528,"(53.627922838942, -113.470055842528)",1.0,POINT (-113.470055842528 53.62792283894201)
261738.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.53805041082129,-113.56770349706001,"(53.5380504108213, -113.56770349706)",1.0,POINT (-113.56770349706 53.53805041082129)
270990.0,Elsinore,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,16.0,70.0,1990-01-01,Parks,53.6412897282405,-113.49762203822701,"(53.6412897282405, -113.497622038227)",1.0,POINT (-113.497622038227 53.6412897282405)
261752.0,Crestwood,Buffer,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,13.0,70.0,1990-01-01,Parks,53.5380700126493,-113.567706917708,"(53.5380700126493, -113.567706917708)",1.0,POINT (-113.567706917708 53.5380700126493)
344516.0,Bergman,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,14.0,70.0,1990-01-01,Parks,53.5789243056452,-113.40996063045401,"(53.5789243056452, -113.409960630454)",1.0,POINT (-113.409960630454 53.5789243056452)
429581.0,Silver Berry,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,16.0,70.0,1990-01-01,Parks,53.461027801202704,-113.39201826571501,"(53.4610278012027, -113.392018265715)",1.0,POINT (-113.392018265715 53.4610278012027)
429582.0,Silver Berry,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,18.0,70.0,1990-01-01,Parks,53.46103812540979,-113.39199330912399,"(53.4610381254098, -113.391993309124)",1.0,POINT (-113.391993309124 53.46103812540979)
